fixture_id,match_date,league,market,outcome,odds,ev,won,profit
1387843,2026-01-04 16:15:00,Ligue 1,1X2,Draw,3.26,-0.1150968977781997,0,-1.0
1387866,2026-01-25 14:00:00,Ligue 1,1X2,Draw,3.4,-0.0728827172739969,0,-1.0
1387873,2026-01-31 20:05:00,Ligue 1,1X2,Draw,3.796,-0.0329578971818491,0,-1.0
1387879,2026-02-08 16:15:00,Ligue 1,1X2,Draw,3.224,-0.0827319944546021,1,2.224
1387881,2026-02-08 16:15:00,Ligue 1,1X2,Draw,3.464,-0.0589639802912602,0,-1.0
1387894,2026-02-14 20:05:00,Ligue 1,1X2,Draw,3.636,-0.0321102023979581,0,-1.0
1387898,2026-02-20 19:45:00,Ligue 1,1X2,Draw,3.68,-0.0064690358737058,0,-1.0
1387897,2026-02-22 14:00:00,Ligue 1,1X2,Draw,3.3419999999999996,-0.0552923874908192,0,-1.0
1387901,2026-02-22 16:15:00,Ligue 1,1X2,Draw,3.4579999999999997,0.0085402865203003,1,2.4579999999999997
1387896,2026-02-22 16:15:00,Ligue 1,1X2,Draw,3.522,-0.0428388931485168,0,-1.0
1387903,2026-02-22 19:45:00,Ligue 1,1X2,Draw,3.506,-0.0809987341119014,0,-1.0
1387912,2026-02-28 16:00:00,Ligue 1,1X2,Draw,3.3699999999999997,-0.1001261504295804,0,-1.0
1387909,2026-03-01 16:15:00,Ligue 1,1X2,Draw,3.3979999999999997,-0.0298545505076012,0,-1.0
1387908,2026-03-01 19:45:00,Ligue 1,1X2,Draw,3.624,-0.0705539738310527,0,-1.0
1387914,2026-03-07 18:00:00,Ligue 1,1X2,Draw,3.2979999999999996,-0.0980252501614105,1,2.2979999999999996
1387922,2026-03-07 20:05:00,Ligue 1,1X2,Draw,3.51,-0.1068430575782497,0,-1.0
1387920,2026-03-08 16:15:00,Ligue 1,1X2,Draw,3.438,-0.0869019852817147,0,-1.0
1387924,2026-03-15 16:15:00,Ligue 1,1X2,Draw,3.404,-0.0512568586782179,1,2.404
1387927,2026-03-15 16:15:00,Ligue 1,1X2,Draw,3.3899999999999997,-0.0235726162968996,0,-1.0
1387936,2026-03-22 19:45:00,Ligue 1,1X2,Draw,3.592,-0.0212300331451831,0,-1.0
1387947,2026-04-05 18:45:00,Ligue 1,1X2,Draw,3.5439999999999996,-0.0081091849928556,0,-1.0
1387956,2026-04-10 17:00:00,Ligue 1,1X2,Draw,3.632,-0.045464721296543,0,-1.0
1387958,2026-04-12 15:15:00,Ligue 1,1X2,Draw,3.248,-0.0021460197002901,0,-1.0
1224092,2024-12-15 18:30:00,Bundesliga,1X2,Draw,3.75,-0.0101880998654133,0,-1.0
1224124,2025-01-14 19:30:00,Bundesliga,1X2,Draw,3.99,0.1791420842660014,0,-1.0
1224126,2025-01-15 17:30:00,Bundesliga,1X2,Draw,3.4,0.0961893247239891,0,-1.0
