season,league,best_bet_type,best_bet_outcome,bet_rating,best_bet_odds,best_bet_ev,home_goals,away_goals
2025,Serie A,TOTAL,Over2.5,Strong,2.466,0.1523364485981309,2,2
2025,Premier League,TOTAL,Over2.5,Strong,1.828,0.43702004990369314,3,1
2025,Ligue 1,TOTAL,Over2.5,Medium,1.734,0.046384282212118766,2,0
2025,Serie A,TOTAL,Over2.5,Strong,2.444,0.14205607476635507,1,3
2025,Serie A,TOTAL,Over2.5,Strong,2.4979999999999998,0.167289719626168,2,1
2025,Premier League,TOTAL,Over2.5,Strong,1.672,0.11784133913213846,2,1
2025,Ligue 1,TOTAL,Over2.5,Weak,1.7400000000000002,0.03228495032387535,2,2
2025,Ligue 1,TOTAL,Over2.5,Medium,1.8219999999999998,0.09729453476543659,2,3
2025,Ligue 1,TOTAL,Over2.5,Medium,1.738,0.06594287980417946,4,2
2025,Bundesliga,TOTAL,Over2.5,Strong,1.716,0.4253130487287742,3,1
2025,Bundesliga,TOTAL,Over2.5,Strong,1.888,0.3673840651546805,3,3
2025,La Liga,TOTAL,Over2.5,Strong,1.986,0.3780408163265305,2,0
2025,Premier League,TOTAL,Over2.5,Strong,1.6760000000000002,0.2666940348792619,2,1
2025,Bundesliga,TOTAL,Over2.5,Strong,1.682,0.36450163967479554,4,0
2025,Bundesliga,1X2,Away,Strong,2.684,0.13433437609914756,0,1
2025,Premier League,TOTAL,Over2.5,Strong,1.9880000000000002,0.2757747002024342,0,2
2025,Premier League,TOTAL,Over2.5,Strong,1.722,0.3732351600496926,2,3
2025,Premier League,TOTAL,Over2.5,Strong,1.768,0.3553845868658736,3,0
2025,Premier League,TOTAL,Over2.5,Strong,1.954,0.2288581852223528,0,2
2025,Premier League,TOTAL,Over2.5,Strong,1.832,0.17817743712369194,0,1
2025,La Liga,TOTAL,Over2.5,Strong,1.922,0.33363265306122436,1,0
2025,Bundesliga,TOTAL,Over2.5,Strong,1.9599999999999997,0.2807814580322916,4,0
2025,Bundesliga,1X2,Away,Strong,2.518,0.17155380583358482,1,1
2025,Serie A,TOTAL,Over2.5,Strong,2.374,0.10934579439252334,2,1
2025,Bundesliga,TOTAL,Over2.5,Strong,1.92,0.23372153389206995,0,1
2025,Bundesliga,TOTAL,Over2.5,Strong,1.8880000000000003,0.21940853215595246,1,1
2025,Premier League,TOTAL,Over2.5,Strong,1.8400000000000003,0.11721547935441601,0,0
2025,Premier League,TOTAL,Over2.5,Strong,1.918,0.48021934711379943,3,0
2025,La Liga,TOTAL,Over2.5,Strong,2.0439999999999996,0.4182857142857139,1,0
2025,La Liga,TOTAL,Over2.5,Strong,2.022,0.4030204081632651,0,2
2025,Premier League,TOTAL,Over2.5,Strong,1.75,0.127997231564694,3,0
2025,Premier League,TOTAL,Over2.5,Strong,1.6640000000000001,0.29054941533818246,3,0
2025,Bundesliga,TOTAL,Over2.5,Strong,1.826,0.21510548647435113,3,1
2025,Bundesliga,TOTAL,Over2.5,Strong,2.2,0.13235448065818267,2,1
2025,Premier League,TOTAL,Over2.5,Strong,1.666,0.2802312951596686,1,2
2025,La Liga,TOTAL,Over2.5,Strong,2.038,0.4141224489795916,3,3
2025,Bundesliga,TOTAL,Over2.5,Strong,1.8240000000000003,0.22187364698355916,4,0
2025,Bundesliga,TOTAL,Over2.5,Strong,2.094,0.41284961428677325,3,2
2025,Bundesliga,TOTAL,Over2.5,Strong,1.8099999999999998,0.17007733946142678,1,0
2025,La Liga,TOTAL,Over2.5,Strong,1.918,0.33085714285714274,1,1
2025,La Liga,TOTAL,Over2.5,Strong,2.034,0.41134693877551,3,0
2025,Bundesliga,TOTAL,Over2.5,Strong,1.768,0.21238496708212784,2,0
2025,Bundesliga,TOTAL,Over2.5,Strong,1.718,0.11360329191378504,2,0
2025,Bundesliga,TOTAL,Over2.5,Strong,2.034,0.34787448369958884,1,0
2025,Bundesliga,TOTAL,Over2.5,Strong,1.6219999999999999,0.12219782443781901,1,1
2025,Bundesliga,1X2,Away,Medium,2.1119999999999997,0.07025689285761572,1,2
2025,Premier League,TOTAL,Over2.5,Strong,1.8,0.16127964951112483,1,1
2025,Bundesliga,1X2,Away,Strong,2.776,0.13580021398983844,0,0
2025,La Liga,TOTAL,Over2.5,Strong,1.888,0.31004081632653047,1,1
2025,Bundesliga,TOTAL,Over2.5,Strong,1.732,0.1902093171178505,2,2
2025,Premier League,TOTAL,Over2.5,Strong,1.716,0.3168941648821235,1,2
2025,Premier League,TOTAL,Over2.5,Strong,1.686,0.10425631657628087,3,2
2025,Ligue 1,TOTAL,Over2.5,Strong,1.902,0.15340756314419268,1,0
2025,La Liga,TOTAL,Over2.5,Strong,1.7239999999999998,0.19624489795918354,0,0
2025,Serie A,TOTAL,Over2.5,Strong,2.366,0.10560747663551395,2,1
2025,Premier League,1X2,Away,Strong,2.7,0.1353729416558611,1,3
2025,Premier League,TOTAL,Over2.5,Strong,1.682,0.1240401284815138,1,1
2025,Premier League,TOTAL,Over2.5,Strong,1.754,0.32598489601903147,1,2
2025,Premier League,TOTAL,Over2.5,Strong,1.81,0.3666859024079565,0,1
2025,Premier League,TOTAL,Over2.5,Strong,1.682,0.15253333349468345,3,1
2025,Premier League,TOTAL,Over2.5,Strong,1.73,0.26382584800519404,1,2
2025,La Liga,TOTAL,Over2.5,Strong,1.8920000000000001,0.3128163265306123,3,0
2025,Serie A,TOTAL,Over2.5,Strong,2.362,0.10373831775700948,3,1
2025,Serie A,TOTAL,Over2.5,Strong,2.56,0.19626168224299056,0,2
2025,La Liga,TOTAL,Over2.5,Strong,2.098,0.45575510204081615,2,1
2025,Serie A,TOTAL,Over2.5,Strong,2.0119999999999996,1.0119979879999996,3,1
