league,odds_bucket,edge_bucket,draw_risk_bucket,n,roi,profit,hit_rate,avg_ev,avg_edge,avg_odds,calibration_gap
39,2.00-2.40,0.08-0.12,0.26-0.30,1,1.152,1.152,1.0,0.1706554165362956,0.1056334279562352,2.152,-0.4560151410147325
140,2.00-2.40,0.05-0.08,0.34+,1,1.15,1.15,1.0,0.0900685506938689,0.063147334883877,2.15,-0.4929913717702935
39,4.00+,<-0.02,0.34+,21,1.118857142857143,23.496000000000002,0.47619047619047616,-0.26418454057284296,-0.048402267397763196,4.48447619047619,-0.31086955590736426
78,4.00+,-0.02-0.02,0.30-0.34,4,1.098,4.392,0.5,-0.051834498633207195,-0.004534587820339525,4.625,-0.2930303093005317
39,2.00-2.40,<-0.02,0.26-0.30,2,1.09,2.18,1.0,-0.1988109338527677,-0.06552599051862015,2.09,-0.6157562258141345
78,2.00-2.40,0.02-0.05,0.30-0.34,1,1.09,1.09,1.0,0.0560286155165528,0.0427873131339179,2.09,-0.4947231504705488
140,2.40-3.20,0.08-0.12,0.30-0.34,5,1.0856,5.428,0.8,0.23510757071598407,0.10492945611607285,2.6804,-0.33635346888588863
140,2.00-2.40,0.12+,0.26-0.30,1,1.0339999999999998,1.0339999999999998,1.0,0.255252863647267,0.1498493990110448,2.034,-0.3828648654634871
61,2.00-2.40,0.05-0.08,0.30-0.34,1,1.0,1.0,1.0,0.0968041184912693,0.0782328297159621,2.0,-0.4515979407543653
140,1.70-2.00,0.12+,0.26-0.30,1,0.9780000000000002,0.9780000000000002,1.0,0.1884181811053449,0.1233555614547334,1.978,-0.39918191046241414
78,1.70-2.00,-0.02-0.02,0.30-0.34,1,0.964,0.964,1.0,-0.0899282491813512,-0.0194840755408383,1.964,-0.536623344797022
39,1.70-2.00,0.08-0.12,0.30-0.34,1,0.96,0.96,1.0,0.1335542872457131,0.0805886578986337,1.96,-0.42165597589504433
135,4.00+,-0.02-0.02,0.26-0.30,6,0.9586666666666668,5.752000000000001,0.3333333333333333,-0.0623263268352247,-0.003923547648929617,5.761,-0.16603206315294455
61,1.70-2.00,0.02-0.05,0.34+,1,0.954,0.954,1.0,0.0188956546302165,0.0311796047985658,1.954,-0.47855903038371717
39,1.70-2.00,<-0.02,0.34+,2,0.947,1.894,1.0,-0.195568753639276,-0.07370263919292525,1.947,-0.5866574228733469
61,1.70-2.00,<-0.02,0.34+,1,0.94,0.94,1.0,-0.2862336242204384,-0.1205430977493773,1.94,-0.632079187742494
78,1.70-2.00,0.12+,0.26-0.30,2,0.9379999999999997,1.8759999999999994,1.0,0.224623013216768,0.14342398221632824,1.9379999999999997,-0.3680752957184209
61,3.20-4.00,0.02-0.05,0.30-0.34,2,0.9099999999999997,1.8199999999999994,0.5,0.10115520527702285,0.043526091678610504,3.527,-0.18552141037183778
140,1.70-2.00,<-0.02,0.34+,1,0.8999999999999999,0.8999999999999999,1.0,-0.0951348287223576,-0.041427846379998,1.9,-0.5237551730117672
39,2.40-3.20,<-0.02,0.26-0.30,3,0.8666666666666667,2.6,0.6666666666666666,-0.28755280028289837,-0.08009219534738034,2.872,-0.41745553208286856
61,1.70-2.00,<-0.02,0.26-0.30,1,0.8579999999999999,0.8579999999999999,1.0,-0.0982821139837484,-0.0246396558375932,1.858,-0.5146835920256988
78,3.20-4.00,0.08-0.12,0.34+,2,0.8500000000000001,1.7000000000000002,0.5,0.35335181353566547,0.1056778518693158,3.825,-0.1455947564830069
140,1.70-2.00,0.08-0.12,0.30-0.34,1,0.8320000000000001,0.8320000000000001,1.0,0.148000249585535,0.1093365600597557,1.832,-0.37336230917820146
140,3.20-4.00,<-0.02,0.26-0.30,4,0.815,3.26,0.5,-0.47645351542707093,-0.11503814032937168,3.6985,-0.35787050671262177
135,4.00+,0.02-0.05,0.34+,5,0.8036000000000001,4.018000000000001,0.4,0.1566963047357636,0.035985491368557096,4.9196,-0.16154322085397846
61,3.20-4.00,<-0.02,0.30-0.34,4,0.802,3.208,0.5,-0.23202127162923308,-0.049652565080026675,3.5309999999999997,-0.2809142419897598
140,3.20-4.00,-0.02-0.02,0.34+,14,0.8005714285714286,11.208,0.5,-0.06320743982447842,-0.005312305792262143,3.528857142857143,-0.2333319132825858
140,1.70-2.00,0.02-0.05,0.26-0.30,2,0.791,1.582,1.0,0.0266269033652314,0.04210273363896475,1.791,-0.4260820263967535
140,1.70-2.00,0.02-0.05,0.30-0.34,1,0.79,0.79,1.0,0.0377588916671141,0.0398249126885416,1.79,-0.4202464292362491
39,2.40-3.20,-0.02-0.02,0.34+,3,0.7846666666666667,2.354,0.6666666666666666,-0.05710139640995193,-0.0007192466298492666,2.618,-0.30581147685880816
135,1.70-2.00,0.02-0.05,0.26-0.30,4,0.76,3.04,1.0,0.043053276795397354,0.04133139254856117,1.76,-0.4070740100387318
140,1.70-2.00,-0.02-0.02,0.26-0.30,1,0.7599999999999998,0.7599999999999998,1.0,-0.0591169300152311,-0.0034476710562667,1.7599999999999998,-0.46540734659956307
78,2.40-3.20,0.05-0.08,0.30-0.34,3,0.75,2.25,0.6666666666666666,0.11235956088556663,0.053378108667833025,2.6833333333333336,-0.2510877388411198
135,1.70-2.00,-0.02-0.02,0.26-0.30,1,0.75,0.75,1.0,-0.0429882400193757,-0.0159235238826743,1.75,-0.453136137153929
