league,outcome,odds_bucket,edge_bucket,prob_bucket,n,wins,hit_rate,avg_odds,avg_p_model,avg_p_market,avg_ev,actual_win_rate,calibration_gap,profit,roi,model_logloss,market_logloss,model_minus_market_logloss
Bundesliga,Under2.5,2.00-2.40,0.12+,0.65+,14.0,14.0,1.0,2.1021428571428573,0.7508960954914431,0.4630397858988186,0.5782859282360258,1.0,-0.2491039045085569,15.43,1.102142857142857,0.2865096287169789,0.7702625268833748,-0.48375289816639594
La Liga,Over2.5,1.70-2.00,0.12+,0.65+,20.0,12.0,0.6,1.8602000000000003,0.738248440254084,0.5191813680761482,0.37392325780142815,0.6,0.138248440254084,2.254000000000001,0.11270000000000005,0.6336091505351549,0.6782098591140652,-0.0446007085789103
La Liga,Over2.5,2.00-2.40,0.12+,0.60-0.65,4.0,2.0,0.5,2.05175,0.6122697124522722,0.4685483790213865,0.25618238731567894,0.5,0.11226971245227224,0.11500000000000021,0.028750000000000053,0.7115494840397384,0.694649738954804,0.016899745084934414
La Liga,Over2.5,2.00-2.40,0.12+,0.65+,13.0,9.0,0.6923076923076923,2.0436923076923073,0.722800184643568,0.4690482115717616,0.47713872580235084,0.6923076923076923,0.0304924923358757,5.3759999999999994,0.4135384615384615,0.5781601525375765,0.7183298853487396,-0.14016973281116318
La Liga,Under2.5,1.55-1.70,0.12+,0.65+,1.0,1.0,1.0,1.7,0.7857585170689751,0.5526315789473685,0.33578947901725775,1.0,-0.21424148293102485,0.7,0.7,0.24110576394993832,0.5930637220029626,-0.3519579580530243
La Liga,Under2.5,1.70-2.00,0.12+,0.65+,16.0,15.0,0.9375,1.80375,0.7901983333514617,0.5408043618842935,0.42479278693076644,0.9375,-0.14730166664853828,11.05,0.690625,1.1011131367975246,0.6227228920415018,0.4783902447560229
La Liga,Under2.5,2.00-2.40,0.12+,0.56-0.60,8.0,2.0,0.25,2.06,0.591549295774648,0.4639269882785486,0.21859154929577476,0.25,0.341549295774648,-3.854,-0.48175,0.802790599980618,0.6631515438003128,0.13963905618030514
La Liga,Under2.5,2.00-2.40,0.12+,0.65+,5.0,5.0,1.0,2.07,0.7501718781721146,0.4732906698130514,0.5529662255611012,1.0,-0.24982812182788539,5.35,1.0699999999999998,0.287507207377392,0.7480972351918991,-0.4605900278145071
Ligue 1,Over2.5,1.55-1.70,0.02-0.05,0.56-0.60,2.0,2.0,1.0,1.69,0.5953814634548016,0.5645380983237376,0.006191121965388735,1.0,-0.4046185365451984,1.3799999999999997,0.6899999999999998,0.5185532417635359,0.5717622049654094,-0.053208963201873516
Ligue 1,Over2.5,1.55-1.70,0.02-0.05,0.60-0.65,6.0,4.0,0.6666666666666666,1.6563333333333334,0.6155978213985615,0.5754509287648987,0.019645163827447427,0.6666666666666666,-0.05106884526810518,0.6239999999999997,0.10399999999999994,0.6439847984146386,0.6548111827232362,-0.010826384308597614
Ligue 1,Over2.5,1.55-1.70,0.05-0.08,0.60-0.65,2.0,0.0,0.0,1.694,0.6150454481872516,0.5628376484854167,0.041886210346066544,0.0,0.6150454481872516,-2.0,-1.0,0.9546301268330817,0.8274555547053265,0.12717457212775518
Ligue 1,Over2.5,1.55-1.70,0.05-0.08,0.65+,1.0,1.0,1.0,1.594,0.6769342312946216,0.5980837115481592,0.07903316468362687,1.0,-0.3230657687053784,0.5940000000000001,0.5940000000000001,0.3901811580642647,0.5140245489621255,-0.12384339089786078
Ligue 1,Over2.5,1.55-1.70,0.08-0.12,0.65+,2.0,2.0,1.0,1.6824999999999999,0.6729800273269632,0.5680443290899353,0.13228566131413388,1.0,-0.32701997267303684,1.3649999999999998,0.6824999999999999,0.39603967819338953,0.5655599517752505,-0.169520273581861
Ligue 1,Over2.5,1.55-1.70,0.12+,0.65+,1.0,1.0,1.0,1.6549999999999998,0.820901138553096,0.5772669220945084,0.35859138430537363,1.0,-0.179098861446904,0.6549999999999998,0.6549999999999998,0.19735259267176306,0.5494505161585718,-0.3520979234868087
Ligue 1,Over2.5,1.55-1.70,<0.02,0.56-0.60,1.0,0.0,0.0,1.672,0.588884562133307,0.5719406041986688,-0.01538501211311083,0.0,0.588884562133307,-1.0,-1.0,0.8888812332008186,0.8484933177919775,0.040387915408841124
Ligue 1,Over2.5,1.70-2.00,0.02-0.05,0.56-0.60,11.0,6.0,0.5454545454545454,1.7754090909090912,0.5776297697447685,0.5377544414347663,0.025302652211916975,0.5454545454545454,0.032175224290223126,-0.3349999999999993,-0.03045454545454539,0.6930053134280866,0.6895881806417786,0.0034171327863079526
Ligue 1,Over2.5,1.70-2.00,0.05-0.08,0.56-0.60,11.0,3.0,0.2727272727272727,1.8392727272727276,0.5870274846576361,0.5223459499208359,0.0792959439334438,0.2727272727272727,0.3143002119303634,-5.504,-0.5003636363636363,0.7843771506148586,0.7144879878513566,0.06988916276350199
Ligue 1,Over2.5,1.70-2.00,0.05-0.08,0.60-0.65,7.0,5.0,0.7142857142857143,1.7421428571428572,0.6081556053646623,0.5466915671617059,0.059460540704659746,0.7142857142857143,-0.10613010892105201,1.7430000000000003,0.24900000000000005,0.6235742550625505,0.6639661334511141,-0.04039187838856362
