league,outcome,odds_bucket,edge_bucket,draw_risk_bucket,n,model_logloss,market_logloss,model_minus_market_logloss,avg_p_model,actual_win_rate,avg_p_market,calibration_gap,avg_edge,avg_ev,avg_odds,roi,profit,hit_rate,clv,status
140,Home,2.40-3.20,-0.02-0.02,0.30-0.34,10,0.6281637484264895,0.6289734458031983,-0.0008096973767087734,0.34987033287752445,0.3,0.3472261807964473,0.04987033287752446,0.0026441520810771557,-0.03470265378312052,2.7871999999999995,-0.15260000000000007,-1.5260000000000007,0.3,,BLOCKED
39,Home,<1.55,-0.02-0.02,0.22-0.26,14,0.663843218671021,0.6658718167231843,-0.0020285980521632663,0.7139053709207512,0.6428571428571429,0.7195695710911479,0.07104822806360833,-0.005664200170396895,-0.0605054034631621,1.3180714285714286,-0.15457142857142853,-2.1639999999999993,0.6428571428571429,,BLOCKED
78,Away,1.55-1.70,-0.02-0.02,0.26-0.30,2,0.7249189059763315,0.7067262413004725,0.018192664675859005,0.5751947209658476,0.5,0.5671708944195537,0.07519472096584756,0.0080238265462938,-0.030747724530831966,1.6849999999999998,-0.16000000000000014,-0.3200000000000003,0.5,,BLOCKED
135,Draw,2.40-3.20,0.02-0.05,0.30-0.34,11,0.595011782800756,0.5874263968215587,0.007585385979197223,0.3432601770930584,0.2727272727272727,0.3110691482862424,0.07053290436578569,0.032191028806816076,0.0484460137131085,3.0547272727272725,-0.1629090909090909,-1.7919999999999998,0.2727272727272727,,BLOCKED
61,Draw,4.00+,0.12+,<=0.22,7,0.4650542275655893,0.3823980459361896,0.0826561816293997,0.2892785910143327,0.14285714285714285,0.13689806773716387,0.14642144815718983,0.1523805232771688,1.0546414965075461,7.282285714285715,-0.16485714285714298,-1.1540000000000008,0.14285714285714285,,BLOCKED
78,Home,1.55-1.70,0.02-0.05,0.26-0.30,2,0.7608044981798572,0.74173373348655,0.019070764693307152,0.6321351202720228,0.5,0.5861612916961896,0.1321351202720228,0.045973828575833264,0.02210404699485702,1.6179999999999999,-0.16700000000000004,-0.3340000000000001,0.5,,BLOCKED
39,Home,2.40-3.20,0.08-0.12,0.30-0.34,15,0.6515226442956723,0.6172106756595407,0.03431196863613162,0.4685410540429178,0.3333333333333333,0.36478902830470494,0.13520772070958448,0.10375202573821288,0.21950610904668383,2.610533333333333,-0.16826666666666668,-2.524,0.3333333333333333,,BLOCKED
39,Away,4.00+,<-0.02,0.30-0.34,5,0.5131746593743544,0.48795935223438425,0.02521530713997011,0.1672870818793291,0.2,0.21946133395129214,-0.0327129181206709,-0.05217425207196301,-0.27211638300487895,4.35,-0.1684000000000001,-0.8420000000000005,0.2,,BLOCKED
78,Away,2.00-2.40,<-0.02,0.30-0.34,16,0.6642760826952948,0.6690250021514624,-0.004748919456167622,0.35012234776599616,0.375,0.436670911679608,-0.024877652234003844,-0.0865485639136118,-0.2327259176603374,2.194125,-0.16937500000000003,-2.7100000000000004,0.375,,BLOCKED
140,Home,2.40-3.20,<-0.02,0.30-0.34,20,0.5684858235575494,0.5982096826341141,-0.029723859076564718,0.25987973859583674,0.3,0.3394893744763302,-0.04012026140416325,-0.07960963588049348,-0.2715745910216573,2.8302666666666667,-0.17213333333333333,-3.4426666666666668,0.3,,BLOCKED
78,Away,<1.55,0.02-0.05,<=0.22,3,0.6790989347300543,0.648232926219963,0.03086600851009136,0.8007328194572606,0.6666666666666666,0.7642894859400359,0.13406615279059397,0.03644333351722473,-0.004912940359775446,1.2453333333333332,-0.17266666666666666,-0.518,0.6666666666666666,,BLOCKED
78,Home,1.55-1.70,0.08-0.12,0.22-0.26,4,0.7634485292251182,0.7217815324943272,0.041666996730790995,0.6932258444582899,0.5,0.5872340154310054,0.19322584445828994,0.10599182902728457,0.13502733647489878,1.6375,-0.17799999999999994,-0.7119999999999997,0.5,,BLOCKED
