match_id,datetime,isResult,home_id,home_team,away_id,away_team,goals_h,goals_a,xg_h,xg_a,forecast_w,forecast_d,forecast_l
29106,2026-04-18 15:00:00,False,249,Nottingham Forest,92,Burnley,,,,,,,
29105,2026-04-18 15:00:00,False,86,Newcastle United,73,Bournemouth,,,,,,,
29104,2026-04-18 15:00:00,False,88,Manchester City,83,Arsenal,,,,,,,
29103,2026-04-18 15:00:00,False,245,Leeds,229,Wolverhampton Wanderers,,,,,,,
29100,2026-04-18 15:00:00,False,80,Chelsea,89,Manchester United,,,,,,,
29101,2026-04-18 15:00:00,False,78,Crystal Palace,81,West Ham,,,,,,,
29099,2026-04-18 15:00:00,False,244,Brentford,228,Fulham,,,,,,,
29098,2026-04-18 15:00:00,False,71,Aston Villa,77,Sunderland,,,,,,,
29102,2026-04-18 15:00:00,False,72,Everton,87,Liverpool,,,,,,,
29114,2026-04-25 15:00:00,False,89,Manchester United,244,Brentford,,,,,,,
29117,2026-04-25 15:00:00,False,229,Wolverhampton Wanderers,82,Tottenham,,,,,,,
29116,2026-04-25 15:00:00,False,81,West Ham,72,Everton,,,,,,,
29115,2026-04-25 15:00:00,False,77,Sunderland,249,Nottingham Forest,,,,,,,
29113,2026-04-25 15:00:00,False,87,Liverpool,78,Crystal Palace,,,,,,,
29109,2026-04-25 15:00:00,False,83,Arsenal,86,Newcastle United,,,,,,,
29111,2026-04-25 15:00:00,False,92,Burnley,88,Manchester City,,,,,,,
29110,2026-04-25 15:00:00,False,220,Brighton,80,Chelsea,,,,,,,
29112,2026-04-25 15:00:00,False,228,Fulham,71,Aston Villa,,,,,,,
29108,2026-04-25 15:00:00,False,73,Bournemouth,245,Leeds,,,,,,,
29127,2026-05-02 15:00:00,False,229,Wolverhampton Wanderers,77,Sunderland,,,,,,,
29126,2026-05-02 15:00:00,False,86,Newcastle United,220,Brighton,,,,,,,
29125,2026-05-02 15:00:00,False,89,Manchester United,87,Liverpool,,,,,,,
29124,2026-05-02 15:00:00,False,245,Leeds,92,Burnley,,,,,,,
29123,2026-05-02 15:00:00,False,72,Everton,88,Manchester City,,,,,,,
29122,2026-05-02 15:00:00,False,80,Chelsea,249,Nottingham Forest,,,,,,,
29121,2026-05-02 15:00:00,False,244,Brentford,81,West Ham,,,,,,,
29120,2026-05-02 15:00:00,False,71,Aston Villa,82,Tottenham,,,,,,,
29119,2026-05-02 15:00:00,False,83,Arsenal,228,Fulham,,,,,,,
29118,2026-05-02 15:00:00,False,73,Bournemouth,78,Crystal Palace,,,,,,,
29136,2026-05-09 15:00:00,False,82,Tottenham,245,Leeds,,,,,,,
29137,2026-05-09 15:00:00,False,81,West Ham,83,Arsenal,,,,,,,
29134,2026-05-09 15:00:00,False,249,Nottingham Forest,86,Newcastle United,,,,,,,
29133,2026-05-09 15:00:00,False,88,Manchester City,244,Brentford,,,,,,,
29135,2026-05-09 15:00:00,False,77,Sunderland,89,Manchester United,,,,,,,
29131,2026-05-09 15:00:00,False,228,Fulham,73,Bournemouth,,,,,,,
29130,2026-05-09 15:00:00,False,78,Crystal Palace,72,Everton,,,,,,,
29129,2026-05-09 15:00:00,False,92,Burnley,71,Aston Villa,,,,,,,
29128,2026-05-09 15:00:00,False,220,Brighton,229,Wolverhampton Wanderers,,,,,,,
29132,2026-05-09 15:00:00,False,87,Liverpool,80,Chelsea,,,,,,,
29147,2026-05-17 15:00:00,False,229,Wolverhampton Wanderers,228,Fulham,,,,,,,
29146,2026-05-17 15:00:00,False,86,Newcastle United,81,West Ham,,,,,,,
29144,2026-05-17 15:00:00,False,245,Leeds,220,Brighton,,,,,,,
29143,2026-05-17 15:00:00,False,72,Everton,77,Sunderland,,,,,,,
29145,2026-05-17 15:00:00,False,89,Manchester United,249,Nottingham Forest,,,,,,,
29141,2026-05-17 15:00:00,False,244,Brentford,78,Crystal Palace,,,,,,,
29140,2026-05-17 15:00:00,False,71,Aston Villa,87,Liverpool,,,,,,,
29139,2026-05-17 15:00:00,False,83,Arsenal,92,Burnley,,,,,,,
29138,2026-05-17 15:00:00,False,73,Bournemouth,88,Manchester City,,,,,,,
29142,2026-05-17 15:00:00,False,80,Chelsea,82,Tottenham,,,,,,,
29156,2026-05-24 16:00:00,False,82,Tottenham,72,Everton,,,,,,,
29148,2026-05-24 16:00:00,False,220,Brighton,89,Manchester United,,,,,,,
29149,2026-05-24 16:00:00,False,92,Burnley,229,Wolverhampton Wanderers,,,,,,,
29150,2026-05-24 16:00:00,False,78,Crystal Palace,83,Arsenal,,,,,,,
29151,2026-05-24 16:00:00,False,228,Fulham,86,Newcastle United,,,,,,,
29152,2026-05-24 16:00:00,False,87,Liverpool,244,Brentford,,,,,,,
29153,2026-05-24 16:00:00,False,88,Manchester City,71,Aston Villa,,,,,,,
29154,2026-05-24 16:00:00,False,249,Nottingham Forest,73,Bournemouth,,,,,,,
29155,2026-05-24 16:00:00,False,77,Sunderland,80,Chelsea,,,,,,,
29157,2026-05-24 16:00:00,False,81,West Ham,245,Leeds,,,,,,,
