feature,gain,weight,cover
home_sot_rate_slope_5,2.4728102684020996,5.0,64.99732971191406
delta_expected_goals_ema_5,2.472126007080078,1.0,98.37395477294922
away_points_slope_5,2.4676296710968018,4.0,162.22930908203125
home_sot_rate_ema_5,2.4441184997558594,6.0,67.07978820800781
h2h_winrate_centered,2.4416627883911133,11.0,151.70065307617188
away_expected_goals_home_mean_5,2.43379282951355,3.0,68.21428680419922
away_goals_against_slope_5,2.4337477684020996,5.0,151.08836364746094
rel_xg_per_shot_mean_5_ratio,2.4071366786956787,4.0,204.1514434814453
away_expected_goals_slope_5,2.3981335163116455,2.0,71.69535827636719
away_tempo_away_std_5,2.394503116607666,4.0,38.895469665527344
sum_xg_per_shot_mean_5,2.3920886516571045,1.0,331.9716796875
sum_tempo_slope_5,2.367288589477539,4.0,228.7266082763672
away_sot_rate_mean_5,2.3614046573638916,3.0,144.2111053466797
away_expected_goals_away_std_5,2.350337266921997,11.0,182.36248779296875
rel_points_mean_5_ratio,2.342938184738159,5.0,169.2820587158203
delta_goals_for_std_5,2.3319458961486816,4.0,200.76600646972656
home_sot_rate_away_sum_3,2.3216497898101807,15.0,107.07398986816406
home_expected_goals_slope_5,2.3208487033843994,1.0,203.91014099121094
home_days_since,2.305562734603882,4.0,267.8671569824219
away_xg_per_shot_slope_5,2.2910311222076416,3.0,46.9216194152832
away_goals_for_away_std_5,2.2830379009246826,1.0,215.9784393310547
away_points_ema_5,2.2818763256073,6.0,205.26194763183594
away_sot_rate_sum_3,2.281102180480957,8.0,190.406494140625
home_xg_per_shot_ema_5,2.2700858116149902,5.0,140.2886505126953
away_sot_rate_away_mean_5,2.2661120891571045,6.0,117.03600311279297
away_goals_for_away_mean_5,2.2427778244018555,2.0,147.22714233398438
away_expected_goals_away_ema_5,2.190629720687866,2.0,129.9873046875
rel_goals_for_sum_3_diff,2.190429449081421,3.0,123.72618865966797
home_tempo_slope_5,2.177464008331299,4.0,213.20652770996094
away_expected_goals_away_mean_5,2.17598032951355,2.0,55.95860290527344
home_sot_rate_away_mean_5,2.1620700359344482,3.0,238.29661560058594
home_xg_per_shot_away_ema_5,2.1468496322631836,1.0,362.32928466796875
away_xg_per_shot_home_mean_5,2.136852502822876,3.0,129.46360778808594
sum_sot_rate_mean_5,2.1047027111053467,1.0,28.866748809814453
h2h_winrate_home_lastN,2.085461139678955,1.0,46.19126510620117
away_goals_against_home_ema_5,2.049407482147217,8.0,99.6466064453125
away_goals_for_sum_3,2.0134549140930176,1.0,118.28091430664062
away_tempo_home_std_5,2.0027058124542236,5.0,186.7001190185547
home_points_home_sum_3,1.9941520690917969,1.0,362.7423400878906
home_goals_for_sum_3,1.9627753496170044,1.0,26.227218627929688
home_goals_against_slope_5,1.949316382408142,3.0,57.3837890625
home_points_home_ema_5,1.927642822265625,1.0,57.82332992553711
home_points_home_mean_5,1.903597116470337,1.0,43.130863189697266
home_sot_rate_mean_5,1.8925368785858154,8.0,49.84467697143555
away_xg_per_shot_mean_5,1.8160932064056396,1.0,29.77863311767578
home_points_away_std_5,1.7656172513961792,4.0,56.15782165527344
sum_expected_goals_mean_5,1.7349532842636108,3.0,51.83247756958008
delta_inj_missing_fixture_cnt,1.6340045928955078,1.0,38.43205642700195
home_xg_per_shot_away_mean_5,1.5889679193496704,3.0,131.5563201904297
away_points_sum_3,1.458387851715088,2.0,39.86796188354492
home_points_mean_5,1.3844151496887207,1.0,45.46122360229492
away_tempo_away_mean_5,1.0377655029296875,1.0,88.9758529663086
away_inj_total_cnt,0.3989887237548828,1.0,28.027414321899414
away_goals_for_home_std_5,0.36847078800201416,1.0,30.390277862548828
home_points_std_5,0.0,0.0,0.0
delta_expected_goals_mean_5,0.0,0.0,0.0
home_matches_14d,0.0,0.0,0.0
home_xg_per_shot_mean_5,0.0,0.0,0.0
h2h_gdiff_centered,0.0,0.0,0.0
delta_inj_questionable_cnt,0.0,0.0,0.0
rel_goals_for_mean_5_diff,0.0,0.0,0.0
home_points_sum_3,0.0,0.0,0.0
home_goals_against_mean_5,0.0,0.0,0.0
home_points_away_sum_3,0.0,0.0,0.0
rel_expected_goals_ema_5_diff,0.0,0.0,0.0
home_inj_questionable_cnt,0.0,0.0,0.0
away_goals_against_away_mean_5,0.0,0.0,0.0
home_expected_goals_ema_5,0.0,0.0,0.0
away_goals_for_home_sum_3,0.0,0.0,0.0
home_points_away_mean_5,0.0,0.0,0.0
rel_expected_goals_mean_5_diff,0.0,0.0,0.0
away_matches_7d,0.0,0.0,0.0
away_inj_questionable_cnt,0.0,0.0,0.0
home_goals_against_sum_3,0.0,0.0,0.0
home_points_home_std_5,0.0,0.0,0.0
away_points_away_mean_5,0.0,0.0,0.0
away_inj_missing_fixture_cnt,0.0,0.0,0.0
away_goals_against_away_sum_3,0.0,0.0,0.0
sum_goals_for_mean_5,0.0,0.0,0.0
home_goals_for_home_std_5,0.0,0.0,0.0
sum_points_mean_5,0.0,0.0,0.0
away_goals_against_home_sum_3,0.0,0.0,0.0
away_matches_14d,0.0,0.0,0.0
away_xg_per_shot_home_ema_5,0.0,0.0,0.0
away_xg_per_shot_away_mean_5,0.0,0.0,0.0
home_matches_7d,0.0,0.0,0.0
rel_points_mean_5_diff,0.0,0.0,0.0
away_points_home_sum_3,0.0,0.0,0.0
away_goals_against_away_std_5,0.0,0.0,0.0
