date,league,fixture_id,home_team,away_team,score,best_bet_type,best_bet_outcome,bet_rating,best_bet_odds,best_bet_ev,result_note,result,profit,bet_decision_notes,close_bucket,decision_profile
2025-08-24 13:00,Premier League,1378983,Crystal Palace,Nottingham Forest,1-1,1X2,Home,Weak,2.184,0.02783557292476324,Draw,Loss,-1.0,,Not close,Baseline
2025-08-24 15:00,La Liga,1390834,Osasuna,Valencia,1-0,UNDER25,Under2.5,Strong,1.6800000000000002,0.2683499892332659,1.0 goals,Win,0.6800000000000002,,Not close,Baseline
2025-08-24 15:15,Ligue 1,1387707,Le Havre,Lens,1-2,1X2,Away,Strong,2.0,0.10859024665917572,Away,Win,1.0,,Not close,Baseline
2025-08-24 15:30,Premier League,1378985,Fulham,Manchester United,1-1,UNDER25,Under2.5,Strong,2.028,0.09834442672540278,2.0 goals,Win,1.028,,Not close,Baseline
2025-08-24 16:30,Serie A,1377865,Cagliari,Fiorentina,1-1,1X2,Away,Strong,2.358,0.14921839556401206,Draw,Loss,-1.0,,Not close,Baseline
2025-08-24 18:45,Ligue 1,1387708,Lille,Monaco,1-0,1X2,Home,Medium,2.836,0.1606734588694132,Home,Win,1.8359999999999999,,Close,Baseline
2025-08-29 16:30,Serie A,1377875,Cremonese,Sassuolo,3-2,UNDER25,Under2.5,Strong,2.104,0.1839105338051208,5.0 goals,Loss,-1.0,,Not close,Baseline
2025-08-30 13:30,Bundesliga,1388321,1899 Hoffenheim,Eintracht Frankfurt,1-3,1X2,Away,Strong,2.332,0.12113491565798884,Away,Win,1.3319999999999999,,Not close,Baseline
2025-08-30 14:00,Premier League,1378998,Wolves,Everton,2-3,1X2,Away,Medium,2.6100000000000003,0.17912052256075706,Away,Win,1.6100000000000003,,Not close,Baseline
2025-08-30 15:00,Ligue 1,1387719,Lorient,Lille,1-7,1X2,Home,Medium,3.3128571428571427,0.1834291033631088,Away,Loss,-1.0,,Not close,Baseline
2025-08-30 15:00,La Liga,1390839,Alaves,Atletico Madrid,1-1,OVER25,Over2.5,Medium,2.138,0.0667992894138354,2.0 goals,Loss,-1.0,,Not close,Baseline
2025-08-30 16:30,Premier League,1378992,Leeds,Newcastle,0-0,1X2,Away,Strong,2.1119999999999997,0.12893929765834522,Draw,Loss,-1.0,,Not close,Baseline
2025-08-30 16:30,Serie A,1377881,Parma,Atalanta,1-1,OVER25,Over2.5,Weak,1.7260000000000002,0.013912973133723083,2.0 goals,Loss,-1.0,,Not close,Baseline
2025-08-30 18:45,Serie A,1377882,Pisa,AS Roma,0-1,UNDER25,Under2.5,Strong,1.8800000000000001,0.09983196092787261,1.0 goals,Win,0.8800000000000001,,Not close,Baseline
2025-08-31 13:00,Ligue 1,1387716,Angers,Rennes,1-1,1X2,Home,Medium,3.3857142857142857,0.1884658411104374,Draw,Loss,-1.0,,Not close,Baseline
