date,league_id,league,fixture_id,home_team,away_team,score,outcome_pick,outcome_prob,outcome_odds,outcome_ev,outcome_decision,outcome_profit,total_pick,total_prob,total_odds,total_edge,total_decision,total_profit
2026-01-16,61,Ligue 1,1387854,Monaco,Lorient,1-3,Draw,0.24092302181997066,4.26,0.026332072953074936,NO BET,,Over,0.52,1.582,-0.08171198388721057,NO BET,
2026-01-16,61,Ligue 1,1387856,Paris Saint Germain,Lille,3-0,Draw,0.241293467262881,4.524,0.09161164589727377,NO BET,,Over,0.5739130434782609,1.54,-0.03581833006456725,NO BET,
2026-01-16,135,Serie A,1378071,Pisa,Atalanta,1-1,Home,0.19844934491922037,5.204,0.032730390959622824,NO BET,,Under,0.4910714285714285,1.76,0.03214052896256281,B,0.38
2026-01-17,78,Bundesliga,1388463,1. FC Köln,FSV Mainz 05,2-1,Home,0.560084002912962,2.27,0.2713906866124238,A,1.27,Over,0.6774193548387096,1.7240000000000002,0.12521156263091748,A,0.7240000000000002
2026-01-17,78,Bundesliga,1388465,1899 Hoffenheim,Bayer Leverkusen,1-0,Draw,0.2698998871578041,3.752,0.012664376616080997,NO BET,,Over,0.6842105263157895,1.5,0.0701453462128736,NO BET,
2026-01-17,78,Bundesliga,1388462,Borussia Dortmund,FC St. Pauli,3-2,Draw,0.22591891724346969,4.926,0.11287658634133169,A,-1.0,Over,0.6774193548387096,1.704,0.11795710044367336,A,0.704
2026-01-17,78,Bundesliga,1388464,Hamburger SV,Borussia Mönchengladbach,0-0,Draw,0.2710217101108582,3.586,-0.02811614754246261,NO BET,,Over,0.5342465753424657,1.7266666666666666,-0.01843045401850152,NO BET,
2026-01-17,78,Bundesliga,1388466,RB Leipzig,Bayern München,1-5,Home,0.26145602316151406,5.276,0.37944197820014813,NO BET,,Over,0.6842105263157895,1.315,-0.02820062732007722,NO BET,
2026-01-17,78,Bundesliga,1388469,VfL Wolfsburg,1. FC Heidenheim,1-1,Draw,0.2600594942087133,4.2925,0.11630537889090209,A,3.2925000000000004,Over,0.6842105263157895,1.5950000000000002,0.07562156926057484,A,-1.0
2026-01-17,140,La Liga,1391015,Mallorca,Athletic Club,3-2,Home,0.3127201658321028,3.7659999999999996,0.1777041445236991,NO BET,,Under,0.4405168543712061,1.532,0.062245249432934524,NO BET,
2026-01-17,140,La Liga,1391016,Osasuna,Oviedo,3-2,Away,0.19362148432573825,5.236,0.013802091929565385,NO BET,,Under,0.42857142857142855,1.592,0.026348083447628623,NO BET,
2026-01-17,140,La Liga,1391010,Real Betis,Villarreal,2-0,Home,0.439493478239202,2.28,0.002045130385380345,NO BET,,Under,0.42165242165242167,2.228,-0.15050987932343862,NO BET,
2026-01-17,140,La Liga,1391017,Real Madrid,Levante,2-0,Away,0.11373789403074001,15.5,0.7629373574764702,NO BET,,Over,0.515695067264574,1.292,-0.2096450687898478,NO BET,
2026-01-17,61,Ligue 1,1387851,Angers,Marseille,2-5,Home,0.3093056701644723,5.388,0.6665389508461768,NO BET,,Over,0.5739130434782609,1.8920000000000001,0.06432258209930808,A,0.8920000000000001
2026-01-17,61,Ligue 1,1387852,Lens,Auxerre,1-0,Away,0.25934945021397193,7.103999999999999,0.8424184943200563,NO BET,,Over,0.5739130434782609,1.7240000000000002,0.02170525127046874,B,-0.5
2026-01-17,61,Ligue 1,1387859,Toulouse,Nice,5-1,Away,0.3986045343221103,3.882,0.5473828022384322,NO BET,,Over,0.52,1.8560000000000003,0.0015775817332641662,B,0.42800000000000016
2026-01-17,39,Premier League,1379181,Chelsea,Brentford,2-0,Home,0.6216557369832499,1.6780000000000002,0.04313832665789352,NO BET,,Over,0.6792452830188679,1.638,0.09752924624665127,B,-0.5
2026-01-17,39,Premier League,1379182,Leeds,Fulham,1-0,Away,0.359495462679067,3.3579999999999997,0.2071857636763068,NO BET,,Over,0.5465838509316768,2.12,0.09694729849138611,A,-1.0
2026-01-17,39,Premier League,1379183,Liverpool,Burnley,1-1,Draw,0.1960236564956912,6.572,0.2882674704896826,NO BET,,Over,0.6792452830188679,1.4799999999999998,0.042703043333209734,B,-0.5
2026-01-17,39,Premier League,1379184,Manchester United,Manchester City,2-0,Draw,0.2913515202983765,4.052,0.18055636024902144,A,-1.0,Over,0.6792452830188679,1.49,0.04805716420698669,B,-0.5
2026-01-17,39,Premier League,1379185,Nottingham Forest,Arsenal,0-0,Draw,0.28227007194426557,4.19,0.18271160144647292,A,3.1900000000000004,Over,0.5465838509316768,1.9119999999999997,0.04217742273053626,B,-0.5
2026-01-17,39,Premier League,1379186,Sunderland,Crystal Palace,2-1,Draw,0.3145904389384898,3.1239999999999997,-0.017219468756157874,NO BET,,Over,0.5465838509316768,2.21,0.11558488079779417,A,1.21
2026-01-17,39,Premier League,1379187,Tottenham,West Ham,1-2,Draw,0.27797357336590856,3.944,0.09632777335514331,B,-0.5,Over,0.5465838509316768,1.716,-0.007933283024709414,NO BET,
2026-01-17,135,Serie A,1378065,Cagliari,Juventus,1-0,Home,0.1765433611693749,5.846,0.03207248939616569,NO BET,,Under,0.4536082474226804,1.8050000000000002,-0.018595807515187468,NO BET,
2026-01-17,135,Serie A,1378069,Napoli,Sassuolo,1-0,Away,0.1252694469947737,8.540000000000001,0.06980107733536745,NO BET,,Over,0.5470588235294118,2.0075000000000003,0.0722386796445198,B,-0.5
2026-01-17,135,Serie A,1378073,Udinese,Inter,0-1,Home,0.17096205902537231,7.909999999999999,0.35230988689069487,NO BET,,Under,0.4536082474226804,1.996,-0.06972683385681627,NO BET,
2026-01-18,78,Bundesliga,1388461,FC Augsburg,SC Freiburg,2-2,Home,0.39804747994353595,2.872,0.14319236239783528,B,-0.5,Over,0.5342465753424657,1.948,0.04127416513944643,B,0.474
2026-01-18,78,Bundesliga,1388467,VfB Stuttgart,Union Berlin,1-1,Draw,0.2826782390164101,3.7840000000000003,0.06965445643809587,A,2.7840000000000003,Over,0.5342465753424657,1.8880000000000003,0.0261694518406419,B,-0.5
2026-01-18,140,La Liga,1391009,Atletico Madrid,Alaves,1-0,Away,0.1219270363548087,10.0,0.21927036354808704,NO BET,,Under,0.42165242165242167,1.8939999999999997,-0.0697850459137433,NO BET,
2026-01-18,140,La Liga,1391011,Celta Vigo,Rayo Vallecano,3-0,Draw,0.3998530733680688,3.148,0.25873747496268074,A,-1.0,Over,0.515695067264574,2.216,0.08594725460374031,NO BET,
